,speaker,language,word,t1,t2,cog,sd,skew,kurtosis,db_d,db_v,burst_time,db_ratio,db_diff
2,S03,English,DEBRIEFING,16.9162,17.006,9331.365901426954,9099.226682090879,0.2172047672896143,-1.8293386557396383,14.410470085410338,31.78632951189572,16.97859977324263,0.45335432894248967,-17.37585942648538
13,S03,English,DEVICE,19.737003900079443,19.7759,5570.126199276642,5475.245640827283,1.1101309320147998,0.3224782249523477,23.78017514825395,25.817032957730742,19.738951247165538,0.9211041093369767,-2.0368578094767926
21,S03,English,DECIBEL,29.2426,29.323863921541776,2029.146224346834,3564.142687674296,3.5774868769190658,14.214614470647543,26.296182036273645,36.71065261915905,29.29823129251701,0.7163093042521897,-10.414470582885404
31,S03,English,DYNAMIC,38.4377,38.4875,2239.903179021399,4235.422108804557,3.1358986179135937,9.229153010561939,24.64751084441947,36.956378884116,38.45009637188209,0.6669352244089334,-12.308868039696527
41,S03,English,DECENTRALIZED,63.1371,63.2668,7724.125832066706,7567.425842575507,0.32543024591136593,-1.6631267774939011,22.10182787739441,34.533380183236986,63.204450113378684,0.6400134524949563,-12.431552305842576
65,S03,English,DEAMON,101.4086,101.4585,2542.8785411286917,4447.059716775186,2.4427463569311785,5.275875660806914,26.089409931900747,37.0790783577141,101.43104875283447,0.7036153833223038,-10.989668425813356
73,S03,English,DECLARATORY,109.2218,109.27821273491773,4280.192495713272,5182.655089150265,1.6613992724174778,1.8961027086909068,24.088792154626116,27.332799104371063,109.2525,0.8813144992081633,-3.2440069497449464
87,S03,English,DECORUM,120.9294,121.0391,2361.423273593596,4089.14325583274,2.4858741242867897,6.055337973918546,26.833138808668807,30.83727051943882,121.02175170068027,0.8701528493500766,-4.0041317107700145
97,S03,English,DEBATE,130.6631,130.7486848511975,9663.763030056234,6813.341716904873,-0.29166984987652805,-1.6248494483156686,24.133774521224794,29.966811789832445,130.72839569161,0.8053500883071331,-5.833037268607651
105,S03,English,DEFLOWER,140.7113,140.8011,3776.582923224985,5646.748776440983,1.7918559535271623,1.9921570931636765,21.837390539183303,22.747714863798585,140.78370181405896,0.9599817243153509,-0.9103243246152815
114,S03,English,DARK,148.1263,148.25778096104182,849.2238394676906,1804.2361390666013,6.367261250688836,49.73564556381609,34.56321812442865,42.05863459575359,148.23704081632653,0.8217865001237652,-7.495416471324937
121,S03,English,DAMAGE,150.5048,150.5547,5244.393165100311,6075.886804763792,1.2661335957184054,0.25528449386822105,21.43895376591821,36.265493346803616,150.52725056689343,0.5911667479854594,-14.826539580885406
129,S03,English,DOCTOR,163.1381,163.178,1523.0498869954595,3409.2492879325755,4.358362681447179,19.553897132525844,26.225606294480308,35.86143148533195,163.15554988662132,0.7313039443282433,-9.63582519085164
137,S03,English,DANCE,165.1176,165.1675,2796.928587056953,3907.6668131826864,2.951675410610747,8.892145276932846,25.797403678794346,37.700874407118704,165.14005102040818,0.684265393959225,-11.903470728324358
144,S03,English,DABBLE,169.0139,169.0438,3422.0865623499603,4339.680811140932,2.309413048135152,5.327841192910229,24.742202828831267,37.163122158972925,169.02134353741494,0.6657729865373363,-12.420919330141658
152,S03,English,DOMAIN,171.1577,171.26382567676194,3108.7378193908066,3769.1600345856664,2.2896154927035153,5.979262422093489,28.28597078409715,35.29326811455112,171.2382709750567,0.8014551299780334,-7.007297330453969
160,S03,English,DIAL,173.598,173.6796175677157,3351.637453970085,5480.953967263099,1.7043082921340809,1.482717674509808,24.875510016265018,39.53726851625112,173.6588095238095,0.6291661247675814,-14.6617584999861
170,S03,English,DASHBOARD,181.7066,181.79588101084886,4735.2824102519035,5744.789253902358,1.3423418547566124,0.4984518287610826,24.7001463375663,40.73056135285971,181.7637358276644,0.6064278398616298,-16.03041501529341
180,S03,English,DEVELOP,193.4263,193.5261,8594.128671345672,6246.942887784061,0.07799712765572982,-1.5400470927063836,24.232424956309874,39.19261926391743,193.50870181405898,0.6182905202924109,-14.960194307607555
190,S03,English,DOT,204.0125,204.0724,2954.4019206013136,4674.906385239925,2.4393081864994643,5.334650116369726,24.858002255166358,42.29340492703474,204.03994897959186,0.5877512651925704,-17.435402671868385
196,S03,English,DECENTERED,208.5085,208.62453854372743,3112.5803779298294,4541.628325831989,2.487550755245031,5.877258018110492,23.397298179530917,20.832280354251246,208.58401927437643,1.1231270788248695,2.5650178252796714
206,S03,English,DEBUG,210.887,210.9269,3487.548445315165,4345.943475891481,2.6848452842908404,6.95315679089779,23.243797494141766,28.193337327209402,210.8994501133787,0.8244429250917084,-4.949539833067636
214,S03,English,DEARTH,220.9088,220.9587,3699.972893662869,5494.825094560353,1.8854328187844516,2.4908269373860064,21.99527869688595,39.10232957674666,220.93125283446713,0.5625055830424508,-17.10705087986071
220,S03,English,DANGLY,227.42174552455015,227.4589,2322.4142653669956,4298.430637749297,3.229393636688067,9.955743168669631,23.375442017639486,30.957758408343853,227.42281746031745,0.7550754066011203,-7.582316390704367
229,S03,English,DISTRIBUTED,232.4205,232.4737015238378,6029.8350611086025,8207.739881600271,0.9623829526851995,-0.8602245946475882,15.80827447415065,27.884030909379174,232.45209750566895,0.5669293125346996,-12.075756435228524
254,S03,English,DETECT,241.1783,241.2582,3881.3904710672873,4808.494230668202,2.2029277781743097,4.492348407218153,23.117108844859043,28.094086100168067,241.24075396825396,0.8228460880498529,-4.9769772553090235
263,S03,English,DOCK,251.7211,251.761,2660.2136551236213,4404.869854624845,2.837775286893291,7.590484133665557,23.60122612596628,35.313860420344454,251.7385544217687,0.668327558783959,-11.712634294378173
269,S03,English,DECOY,256.6424,256.6762703072037,7533.34922067762,6303.334620496887,0.4131754961509199,-1.161445563731621,21.550384984715798,20.475294767209014,256.64933106575967,1.0525067028206367,1.0750902175067836
276,S03,English,DAD,259.2027811017362,259.2443,5077.694578260252,6395.528386357725,1.1598952555326627,-0.12837679347707454,21.702801870234538,32.774048500858214,259.203537414966,0.6621947199982399,-11.071246630623676
282,S03,English,DUPLICATE,261.4075,261.4374,3045.268614450013,4759.416246864341,2.466271675018784,5.469996167018818,23.582437797359713,33.653011708879916,261.4199489795918,0.7007526696678112,-10.070573911520203
293,S03,English,DECAUCHED,268.4411,268.491,4672.82621392727,5497.818564493927,1.6541837256937106,1.7885421552844285,20.244194808802398,16.107422683993185,268.4735544217687,1.256823962837962,4.136772124809212
303,S03,English,DELETE,278.22095425448975,278.2559,4708.167006667128,5223.11055699408,1.7553084152488743,2.4998467370093094,21.877561597178445,32.31405938332263,278.2234353741497,0.6770291945576331,-10.436497786144184
311,S03,English,DITHER,285.641,285.6972588763598,5886.721060208368,6915.531858749283,1.2128195526489298,-0.0396501560704845,17.914890258809,26.150531989901516,285.676626984127,0.6850679085889015,-8.235641731092517
318,S03,English,DIAGNOSTIC,288.5565,288.5865,2899.062648996501,5464.096698004812,2.2616210927364926,3.700657860517196,22.533192371769903,37.706422698217146,288.5664965986395,0.597595602004306,-15.173230326447243
331,S03,English,DESKTOP,291.4877,291.5376,3262.635142502474,4411.383022216738,2.489942022033222,6.255504704366523,23.54432672191072,34.844519748055156,291.5151530612245,0.6756966918226746,-11.300193026144434
341,S03,English,DUAL,296.9523,297.062,3450.3397917003217,5108.411936416767,2.397626928380458,4.470479460733622,22.546097663116797,30.670987628117903,297.03964285714284,0.7350952612444557,-8.124889965001106
348,S03,English,DATABASE,306.0308,306.0707,6203.235791922994,6478.442648482146,0.7149979158796664,-1.0326221147614643,22.093899462770974,37.29446900917219,306.0382482993197,0.5924175903225009,-15.200569546401216
358,S03,English,DRIVE,316.268,316.3417313500892,13917.523196629727,8565.008455273693,-0.7613277545361848,-1.2688170691231864,10.82977632028218,36.71690732423124,316.3248639455783,0.2949533909446424,-25.887131003949058
365,S03,English,DEAL,318.4652,318.6144213899865,10230.817543083762,5933.771042831088,-0.4613029093488444,-1.0713400531226287,23.604993654471905,26.290196813316346,318.59230725623587,0.8978629495278503,-2.685203158844441
371,S03,English,DECLINE,324.7408,324.7807,2717.164855821714,4807.275434808753,2.428934331755732,5.085356579871796,23.29645491377404,25.579322037928925,324.7632482993197,0.9107534155608245,-2.282867124154887
380,S03,English,DEEP,331.878469669639,331.95007600274886,11222.61474414889,5065.125775999491,-1.067923889219622,0.10356142517208378,24.72474580828925,29.79705701622557,331.92427437641726,0.8297714030894304,-5.07231120793632
386,S03,English,DIRECT_CURRENT,342.1519,342.2450490381131,4125.611895587739,5681.129632786467,1.579053221744814,1.2931356601763513,23.74597554537751,37.78852517232817,342.2234807256235,0.6283911699937483,-14.04254962695066
401,S03,English,DELIVERY,347.835,347.8805161946083,4503.586031809592,5989.974831283761,1.6767987575067689,1.601700896523357,19.63686219629048,34.655496676908236,347.85525510204076,0.5666305226949749,-15.018634480617756
411,S03,English,DISK,349.8471,349.9336053127448,2656.0273835380754,4045.3157021498696,2.738855312943433,7.5775919339997095,24.594069734556918,39.11500003919406,349.91285147392296,0.6287631269311809,-14.52093030463714
418,S03,English,DECISION,352.1765,352.2164,5775.447725620863,5931.014588021858,1.0140887698451744,-0.06940955129630622,22.53190467368677,26.045182284076702,352.18395124716557,0.8651083500944491,-3.513277610389931
428,S03,English,DECLARE,357.3286,357.3685,6825.357946987579,6749.7912517549385,0.9257282996259616,-0.534771114227282,18.229886936198525,17.24584021278809,357.34604875283446,1.0570599467041768,0.9840467234104366
437,S03,English,DEADLOCKED,365.2508,365.3007,2011.4002050915444,4105.753215566209,3.248452871143472,10.126003565543106,24.68162074908974,39.334031742369355,365.2732482993197,0.6274876908309271,-14.652410993279616
447,S03,English,DECENT,368.1927,368.23866189883944,4765.571537773827,5912.6711668756825,1.4419099756047242,0.7986157935794447,21.73921011661112,26.945090417269814,368.2231802721089,0.806796703219741,-5.205880300658695
456,S03,English,DISABLED,371.46974671568853,371.50490577434397,4915.256915188418,6252.357364993202,1.5970672836787445,1.186413016024753,20.18738922894353,18.005465701954474,371.46982426303856,1.1211811770440467,2.1819235269890562
467,S03,English,DEFRAGMENT,383.5949,383.6448,5174.934535168584,4805.918095555396,1.514425244166654,2.018151476731213,23.069385264056457,18.14689353908576,383.62235260770973,1.271258092431543,4.922491724970698
480,S03,English,DISPLAY,400.0819,400.1318,8200.304037615208,5910.922555069961,0.5386118283328533,-0.8772373861332863,21.929239321751737,18.38197448299892,400.11434807256234,1.1929751802252584,3.5472648387528167
489,S03,English,DRAG,405.3106,405.3764501269368,2245.202749736741,3963.5309633229795,4.056380185092698,15.020003571842935,23.950516170793165,36.21790231109642,405.33101473922903,0.661289435403199,-12.267386140303252
496,S03,English,DARK,407.638,407.7378,3193.4545589800878,5333.19439320139,1.8871037169712985,2.179013588524704,25.090218794882503,37.49333451542389,407.71540249433104,0.6691914474707756,-12.403115720541386
508,S03,English,DAIRY,410.0078,410.1474,7445.231378305378,7612.426148181159,0.47439198509832237,-1.4763473584285927,18.756726142641668,32.01980637284536,410.10509637188204,0.5857851207541483,-13.263080230203691
515,S03,English,DIFFER,413.6395,413.6760332622024,6857.135572859024,7705.229350849233,0.945858131129552,-0.7351178233377125,16.91010788065448,23.77920209012381,413.6502664399093,0.7111301639375753,-6.869094209469331
522,S03,English,DIRECT,420.5848,420.6364764541017,752.7594355334721,1385.0906112849466,12.344474659252244,167.487045460217,33.69729649249373,33.61581531118868,420.62064625850337,1.0024238942459303,0.081481181305044
531,S03,English,DEBILITATE,423.5849,423.6205418222192,2677.1820149841483,3829.2844343837546,3.21338197288227,10.641248678076227,25.168646148255277,35.67018516220613,423.5952210884354,0.7055933697513401,-10.501539013950854
543,S03,English,DANGLING,430.364,430.4338,2076.575464966185,4157.675950170702,3.1128856450530384,9.093954613013594,26.214573789934317,32.316680871913505,430.41140022675734,0.8111777906225963,-6.102107081979188
559,S03,English,DOUBLE,440.0755,440.1353,6306.489715330501,6447.2830570836695,0.7959646593325228,-0.6597595252983246,20.517126657113813,31.15236517112166,440.09790816326534,0.6586057445209089,-10.635238514007845
572,S03,English,DEAD_CODE,442.5913,442.65166330365696,6197.654117450388,6524.776172957655,0.930284389992727,-0.5252461658135505,20.042644025704725,35.61714893664658,442.6214739229025,0.5627245476990662,-15.574504910941855
581,S03,English,DECELERATING,455.284,455.3139,7901.416614477742,7426.419141530541,0.7164401826594157,-1.121243455231636,16.389431818200283,26.94081937295398,455.29644557823127,0.6083494191959771,-10.551387554753699
594,S03,English,DEAD,460.6141,460.6939,6267.847778019906,6296.081814844618,0.9876827287841804,-0.3536952150915411,20.17667739849597,37.920390826494625,460.6615022675737,0.5320798904951873,-17.743713427998657
600,S03,English,DOMINATOR,463.6134,463.6633,4808.931824608203,5238.545282028881,1.444011874154877,1.123695509905832,24.190834076910967,32.24126569916143,463.6258446712018,0.7503065885388038,-8.050431622250464
611,S03,English,DECALCIFIED,468.7064,468.7363,4995.438226580357,6811.3021983931085,1.3428535894299205,0.267251361757209,18.90138627194852,18.21797417840036,468.7138492063492,1.0375130674165973,0.68341209354816
624,S03,English,DATA,474.0359,474.0758,2921.4806483124894,4533.300042299365,2.9135970366983512,7.959439704165039,22.92983279552338,34.20020114695025,474.05335034013603,0.6704590039397507,-11.270368351426868
631,S03,English,DROP,478.4571824258951,478.5051014035406,4675.496976046098,6187.8102102751045,1.840331948769151,1.8247148555946415,18.72096539785446,37.748746412286,478.4836337868481,0.49593608204592954,-19.027781014431543
636,S03,English,DOWN,478.7301,478.7799,4086.971723839026,5792.777582527606,1.8315788413431362,2.0273001133163673,20.637567411797633,33.94647683516398,478.7575,0.6079443092727636,-13.308909423366345
642,S03,English,DISCHARGE,485.4588,485.49494092778025,8080.312784282538,7614.949430918803,0.29610180786283696,-1.5049888309868078,17.391635989267545,20.12595854628685,485.4843707482994,0.8641395116296822,-2.734322557019304
652,S03,English,DAZZLE,487.9845,488.0344,1885.3752538319752,4105.853196846828,3.8799742441761578,14.16140146790164,23.340306632175356,35.086675566674394,488.0119557823129,0.665218526839977,-11.746368934499039
660,S03,English,DIRECTORY,492.932,493.0768076606162,6848.935645253905,7966.191171320001,0.7463256211636602,-1.2409096799174664,18.24240826234094,33.5110304576086,493.04439909297054,0.5443702569939638,-15.268622195267657
671,S03,English,DEACTIVATE,498.167,498.1969,5191.1302539755825,6407.097718090905,1.4219504508532117,0.6566390305395733,19.42805382604521,22.587919500039284,498.1744501133787,0.8601081576376002,-3.159865673994073
683,S03,English,DUPLEX,503.6581,503.688,4604.522492674772,5519.846057927374,1.512533219404683,1.154224640514001,22.96036675924233,37.69173710999608,503.6705498866213,0.60916180891947,-14.731370350753753
693,S03,English,DEFOLIATE,520.2927,520.3315625493362,4889.222285271552,5572.592393227769,1.2891402839029569,0.625318929836955,23.532578977289084,14.496695820692418,520.3146315192745,1.6233063912190908,9.035883156596666
704,S03,English,DOCUMENT,526.8363,526.8731233030628,5293.808977828886,6411.120646818202,1.239913716249864,0.12890698995567362,20.51647833146461,37.72671981212006,526.8472052154195,0.5438182389997633,-17.210241480655448
716,S03,English,DOWNLOAD,541.7092,541.7636772666076,6818.393381361473,6702.793257522388,0.6456011269326655,-0.9479168597529997,19.94172366580315,30.439104056518946,541.7364399092971,0.6551350403998621,-10.497380390715797
725,S03,English,DEFINE,543.5677,543.5977,9527.178503391147,8665.062251425281,0.20377563532413306,-1.7256656947696114,14.46903004496922,22.564736308796792,543.5726984126984,0.6412230946092871,-8.095706263827573
732,S03,English,DISCOVER,545.5428,545.5814277547059,9846.71293685709,7370.812863888848,0.272336024917177,-1.47530322102372,15.271525818230668,12.036616447871772,545.5746088435375,1.2687557075834937,3.2349093703588956
742,S03,English,DECRYPTION,557.9551,557.9931031540212,4385.025730737454,5356.530769365158,1.8662589379693721,2.577025906893966,21.876291098250206,22.379645527865208,557.9715929705216,0.977508382383078,-0.5033544296150012
754,S03,English,DOCUMENTARIST,582.8519,582.8918,6289.555054746781,7117.6612793312615,0.9196827022743763,-0.5920542599099372,19.320236573526092,30.073836085575365,582.8593480725624,0.6424267432511831,-10.753599512049274
771,S03,English,DECOUPLE,596.6989,596.7388,4932.695191831599,5497.709452096917,1.5056025948549125,1.404361343955503,21.58079842810359,11.706796400623176,596.7213548752835,1.8434418511758521,9.874002027480415
781,S03,English,DISPATCH,599.5362,599.5961,7089.553364432154,7275.649197117402,0.8636627230073566,-0.7949836393767473,16.10018815010821,17.97129441647522,599.5686451247167,0.8958836117752502,-1.8711062663670113
790,S03,English,DIGITAL,607.2242,607.2641,4568.425950356012,5031.927193626117,1.8672729026760884,3.1717861762626294,21.45171178663762,30.901781817392347,607.241649659864,0.6941901251326558,-9.450070030754727
800,S03,English,DECORATED,609.6581,609.7003199266375,3156.931371707991,5571.0130682535655,2.4528648998834877,4.671979813736724,20.46940722172089,14.586946251772158,609.6842176870749,1.4032688452001443,5.882460969948731
811,S03,English,DECISIVE,621.2754,621.3191011824885,5711.06098346453,5657.545395766173,1.239145482193581,0.6183308653254924,20.544855748224702,22.06786848919085,621.2922562358277,0.9309850545052804,-1.5230127409661485
1,S03,Spanish,DUAL,14.031368496875832,14.091232442454062,2821.206375273871,3438.936703541757,2.500913944267666,7.432172981891799,29.741913001110376,38.89155010597708,14.073792517006803,0.7647397164696571,-9.149637104866706
28,S03,Spanish,DOS,32.406767683290134,32.43669965607925,630.9737024975124,1738.2968737938836,10.68783675197458,115.03080253545954,30.23937773244696,33.17830278767311,32.42923469387755,0.9114202714335929,-2.93892505522615
41,S03,Spanish,DESINSTALAR,35.43277222097088,35.48265884228608,1993.9325290653264,3484.95981896299,3.4094456340420183,12.7619870695633,27.375520496289557,30.2887915071739,35.460221088435375,0.9038168620826508,-2.913271010884344
62,S03,Spanish,DESPEGABLE,50.322176958923635,50.37206358023883,3980.956548037227,5453.624628050224,1.7231024389682856,1.7175437741230084,24.25480979195328,36.303288777898956,50.349631519274375,0.668116047015535,-12.048478985945675
86,S03,Spanish,DESLIZAR,56.85499743092967,56.9148613765079,2976.9831244608567,4502.029853018643,2.681595282243827,6.683028357612844,23.259266753441786,37.17555430697533,56.87742063492063,0.625660254084701,-13.916287553533543
105,S03,Spanish,DESTACAR,66.5697213231335,66.60963062018567,1355.0715019002039,3019.458709969834,4.622007800335107,22.85749168890064,29.324526404125727,35.19240020397815,66.59717120181405,0.8332630407178332,-5.8678737998524255
116,S03,Spanish,DIRECCIÓN,69.23348627236801,69.28337289368321,4331.429224260107,5126.5444436571825,1.677067626744586,1.770610168869175,26.25716866314798,31.070389131679597,69.26592403628119,0.8450865726807385,-4.813220468531618
140,S03,Spanish,DESCARGAR,75.10737122919384,75.13730320198296,1987.2379274657408,4371.722305806959,3.1721596204249196,9.163451450164514,23.886896332565627,32.8308507218308,75.12984693877551,0.727574699021798,-8.943954389265173
181,S03,Spanish,DEBILITAR,84.09298251246828,84.14286913378346,9123.476390190242,6395.0552640153965,-0.1960582276030039,-1.4379501967435335,22.504480845060307,37.31349663139731,84.11542517006804,0.6031190554820315,-14.809015786337
222,S03,Spanish,DECLARAR,95.31137962974557,95.3712435753238,3713.0428313604257,5105.086879049092,1.7825678030913175,2.0318514696800767,26.33732972643585,23.957345140848926,95.33881519274377,1.0993425845641338,2.379984585586925
241,S03,Spanish,DECIBELIO,104.11947745554004,104.14940942832915,1318.0835633783333,2327.23966221042,3.6517613197282115,20.08627435692539,33.12375333891069,27.594068019704316,104.12693310657596,1.2003939874054723,5.529685319206372
253,S03,Spanish,DISCO,106.72165568377166,106.76156498082382,1888.550781178276,4029.26116433113,3.607536394085229,12.8119083751071,24.36132745800677,31.835045569308825,106.74912131519274,0.7652361421933307,-7.473718111302055
258,S03,Spanish,DURO,107.13072597855624,107.17063527560839,460.5887606100374,1097.6988981058719,16.108551370166385,273.9439342179692,34.948094538747895,35.31385595044318,107.16319160997732,0.9896425524245055,-0.3657614116952814
289,S03,Spanish,DOCUMENTO,118.20749026503736,118.23742223782648,667.527052163816,1376.3030601941207,10.970920921093263,128.2179748856758,35.948167840703704,15.77456510487844,118.23996031746033,2.2788690275579375,20.173602735825263
301,S03,Spanish,DISEÑO,124.49649729310495,124.55636123868318,5583.601843730294,5645.012300561682,1.3985707433197259,1.1266391694980777,20.719446114273946,27.17323497558266,124.52893990929705,0.7624946434567705,-6.453788861308713
